"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000001561.6"	2807.68883632429	-0.755094916335809	0.269366657847389	-2.80322339212306	0.005059461130827	0.0416467715422019
"ENSG00000004776.10"	2921.18329738023	1.75467898009281	0.60333882942303	2.90828120870458	0.00363421378506429	0.0319173167056432
"ENSG00000006788.11"	47.3043447684929	5.41159097063387	1.15608077440996	4.68097998895955	2.85506810364149e-06	7.25028218283972e-05
"ENSG00000008282.6"	9718.24799939671	-0.615914987957664	0.194356365269205	-3.16899828366595	0.00152965298434062	0.0162130110378184
"ENSG00000012817.14"	2257.14793435675	30	2.60240595386734	11.5277940996938	9.5560903636125e-31	4.86770379433544e-28
"ENSG00000023516.8"	5504.38177989635	-0.659111122842363	0.161185800364869	-4.08913887793071	4.32977575396505e-05	0.000805449906368643
"ENSG00000030419.15"	1639.15763560161	-0.832551291066986	0.268435364688156	-3.10149630259847	0.00192545276923887	0.0193764767637699
"ENSG00000032219.17"	5245.29096582048	0.687979448149848	0.177542305062707	3.87501698767997	0.000106617261465814	0.00175356538587505
"ENSG00000036530.7"	461.716785598568	1.01553724232856	0.285294663459073	3.559608266119	0.000371408394751228	0.0050549485176397
"ENSG00000038219.11"	10350.3081498345	0.848866487476225	0.152388953773711	5.57039382747351	2.54164162582874e-08	9.71715040126445e-07
"ENSG00000039987.5"	11.4877799280619	2.44977019931182	0.629216873661992	3.89336380166404	9.88637183806117e-05	0.00164068396328828
"ENSG00000047662.4"	215.35125095398	2.45229705538782	0.438049424203732	5.59822001785644	2.16563800980637e-08	8.45697512780981e-07
"ENSG00000048392.10"	3337.28959715552	-0.65438245640376	0.110496635058764	-5.92219352250636	3.17675469913935e-09	1.48244879517532e-07
"ENSG00000048649.12"	9002.85068527553	0.832476387406605	0.151074955567959	5.51035334928248	3.58114068138605e-08	1.33956318490119e-06
"ENSG00000049192.13"	1050.66106752978	0.888901173845575	0.313549064135795	2.83496675805927	0.00458304542168624	0.0384190530775334
"ENSG00000049247.12"	528.431012511188	0.897841945434252	0.248270803554886	3.61638151799739	0.000298749965051503	0.00422371481202202
"ENSG00000054267.19"	9185.69820852514	0.645467571714118	0.139425725249466	4.62947257802834	3.66598267280825e-06	9.0636907794955e-05
"ENSG00000064651.12"	3748.88578723426	-0.706371646997138	0.176445733365875	-4.00333651328603	6.24553655949969e-05	0.00111454351029341
"ENSG00000066230.9"	145.283676527889	-1.20064016837379	0.430362242814637	-2.78983620989011	0.00527347120564067	0.0430449695492166
